query_idx,phase,user_id,user_profile,question,category,difficulty,source,compute,score,cache_hit,ensemble_size
0,Холодный старт,0,active,"В интернете пишут, вопрос по теме «Общие вопросы» #17?",Общие вопросы,easy,user,2.4,99,False,5
1,Холодный старт,0,active,"А правда, что вопрос по теме «Спортивное питание» #14?",Спортивное питание,medium,user,5.0,99,False,5
2,Холодный старт,0,active,Чем отличается веганство от вегетарианства — это нормально?,Диеты и режимы,easy,user,3.3,99,False,5
3,Холодный старт,0,active,У меня такой вопрос: что такое пробиотики?),БАДы и добавки,medium,user,6.5,99,False,5
4,Холодный старт,0,active,"Подскажите, вопрос по теме «Макронутриенты» #17? А то я запу",Макронутриенты,easy,user,3.0,99,False,5
5,Холодный старт,0,active,"Никак не могу понять, вопрос по теме «Диеты и режимы» #14 — ",Диеты и режимы,medium,user,5.4,99,False,5
6,Холодный старт,0,active,У меня такой вопрос: вопрос по теме «Общие вопросы» #18 — эт,Общие вопросы,easy,user,2.35,96.0,False,5
7,Холодный старт,0,active,Интересует такой вопрос: что такое адаптогены это правда?,БАДы и добавки,medium,user,6.34,99,False,5
8,Холодный старт,0,active,"Посоветуйте, вреден ли глютен для всех?",Общие вопросы,easy,user,2.34,96.9,False,5
9,Холодный старт,0,active,Вопрос по теме «Диеты и режимы» #20,Диеты и режимы,hard,expert,8.54,94.4,False,5
10,Холодный старт,0,active,Непонятно вот что: какие продукты богаты железом — как думае,Микронутриенты и витамины,easy,user,3.48,99,False,5
11,Холодный старт,0,active,У меня такой вопрос: чем пробиотики отличаются от пребиотико,БАДы и добавки,easy,user,3.76,99,False,5
12,Холодный старт,0,active,"Я слышал, что вопрос по теме «Диеты и режимы» #11 что посове",Диеты и режимы,easy,user,3.17,99,False,5
13,Холодный старт,0,active,"Можете рассказать, вопрос по теме «Диеты и режимы» #15?",Диеты и режимы,easy,user,3.16,99,False,5
14,Холодный старт,0,active,"Подскажите, вопрос по теме «Макронутриенты» #17? А то я запу",Макронутриенты,easy,user,2.86,99,False,5
15,Холодный старт,0,active,Вопрос по теме «Диеты и режимы» #16,Диеты и режимы,hard,expert,8.38,95.5,False,5
16,Холодный старт,0,active,Непонятно вот что: для чего нужно железо?,Микронутриенты и витамины,easy,user,3.42,99,False,5
17,Холодный старт,0,active,"А вот интересно, какие витамины относятся к жирорастворимым ",Микронутриенты и витамины,easy,user,3.41,99,False,5
18,Холодный старт,0,active,"Подскажите, вопрос по теме «Заболевания и питание» #15 — как",Заболевания и питание,medium,user,6.6,99,False,5
19,Холодный старт,0,active,"Верно ли, что что такое суперфуды интересно узнать?",Общие вопросы,easy,user,2.26,99,False,5
